Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"73693","Reading, PA Urbanized Area (2010)","ACSSF","us","400","00","0009945",,,,,,,,,,,,,,,,,,,,,,,,,,"73693",,,,,,,,,,,,,,,,,,"40000US73693","Reading",,,,270218,,,
"73720","Red Bluff, CA Urban Cluster (2010)","ACSSF","us","400","00","0009946",,,,,,,,,,,,,,,,,,,,,,,,,,"73720",,,,,,,,,,,,,,,,,,"40000US73720","Red Bluff",,,,18856,,,
"73747","Red Bud, IL Urban Cluster (2010)","ACSSF","us","400","00","0009947",,,,,,,,,,,,,,,,,,,,,,,,,,"73747",,,,,,,,,,,,,,,,,,"40000US73747","Red Bud",,,,3504,,,
"73774","Redding, CA Urbanized Area (2010)","ACSSF","us","400","00","0009948",,,,,,,,,,,,,,,,,,,,,,,,,,"73774",,,,,,,,,,,,,,,,,,"40000US73774","Redding",,,,119346,,,
"73828","Red Hook, NY Urban Cluster (2010)","ACSSF","us","400","00","0009949",,,,,,,,,,,,,,,,,,,,,,,,,,"73828",,,,,,,,,,,,,,,,,,"40000US73828","Red Hook",,,,6919,,,
"73882","Redmond, OR Urban Cluster (2010)","ACSSF","us","400","00","0009950",,,,,,,,,,,,,,,,,,,,,,,,,,"73882",,,,,,,,,,,,,,,,,,"40000US73882","Redmond",,,,32563,,,
"73909","Red Oak, IA Urban Cluster (2010)","ACSSF","us","400","00","0009951",,,,,,,,,,,,,,,,,,,,,,,,,,"73909",,,,,,,,,,,,,,,,,,"40000US73909","Red Oak",,,,5213,,,
"73936","Red Springs, NC Urban Cluster (2010)","ACSSF","us","400","00","0009952",,,,,,,,,,,,,,,,,,,,,,,,,,"73936",,,,,,,,,,,,,,,,,,"40000US73936","Red Springs",,,,3904,,,
"73963","Red Wing, MN Urban Cluster (2010)","ACSSF","us","400","00","0009953",,,,,,,,,,,,,,,,,,,,,,,,,,"73963",,,,,,,,,,,,,,,,,,"40000US73963","Red Wing",,,,13686,,,
"73990","Redwood Falls, MN Urban Cluster (2010)","ACSSF","us","400","00","0009954",,,,,,,,,,,,,,,,,,,,,,,,,,"73990",,,,,,,,,,,,,,,,,,"40000US73990","Redwood Falls",,,,4708,,,
