fips,name,population,area
01801821,ZCTA 01821,32936,16.95931
01801824,ZCTA 01824,25762,18.13941
01801826,ZCTA 01826,31389,21.32913
01801827,ZCTA 01827,3374,16.75381
01801830,ZCTA 01830,26225,15.11583
01801832,ZCTA 01832,23736,11.88324
01801833,ZCTA 01833,8733,13.14779
01801834,ZCTA 01834,6815,9.397044
01801835,ZCTA 01835,13822,8.696243
01801840,ZCTA 01840,5416,0.575681
01801841,ZCTA 01841,49437,3.263424
01801843,ZCTA 01843,25170,3.619373
01801844,ZCTA 01844,50517,22.99255
01801845,ZCTA 01845,31262,27.71622
01801850,ZCTA 01850,15950,1.477747
01801851,ZCTA 01851,31558,3.381026
01801852,ZCTA 01852,35033,5.200459
01801854,ZCTA 01854,28770,4.47132
01801860,ZCTA 01860,6926,8.893559
01801862,ZCTA 01862,10519,9.655672
01801863,ZCTA 01863,9477,4.944563
01801864,ZCTA 01864,15672,13.4983
01801867,ZCTA 01867,25236,9.969616
01801876,ZCTA 01876,30973,20.82188
01801879,ZCTA 01879,12511,18.21014
01801880,ZCTA 01880,26704,7.450981
01801886,ZCTA 01886,24566,31.36367
01801887,ZCTA 01887,23390,17.1558
01801890,ZCTA 01890,22760,6.348043
01901901,ZCTA 01901,2370,0.27416
01901902,ZCTA 01902,49472,2.494176
01901904,ZCTA 01904,17928,5.021588
01901905,ZCTA 01905,24369,4.019182
01901906,ZCTA 01906,28334,11.80137
01901907,ZCTA 01907,15468,3.462345
01901908,ZCTA 01908,3512,2.41992
01901913,ZCTA 01913,17474,13.73189
01901915,ZCTA 01915,42062,16.61798
01901921,ZCTA 01921,8316,24.39875
01901922,ZCTA 01922,3758,9.891608
01901923,ZCTA 01923,27367,14.11151
01901929,ZCTA 01929,3771,16.0409
01901930,ZCTA 01930,30291,31.60001
01901937,ZCTA 01937,182,0.07305516
01901938,ZCTA 01938,14022,35.71097
01901940,ZCTA 01940,13429,11.20364
01901944,ZCTA 01944,5400,10.46768
01901945,ZCTA 01945,20530,7.783867
01901949,ZCTA 01949,9952,14.48824
01901950,ZCTA 01950,18197,10.65578
01901951,ZCTA 01951,3348,16.40832
01901952,ZCTA 01952,9477,17.7925
01901960,ZCTA 01960,52880,16.57899
01901966,ZCTA 01966,7269,8.600135
01901969,ZCTA 01969,6375,19.17561
01901970,ZCTA 01970,43120,13.59361
01901982,ZCTA 01982,8048,14.91567
01901983,ZCTA 01983,6613,12.81055
01901984,ZCTA 01984,5208,8.141887
01901985,ZCTA 01985,4688,14.72483
02002019,ZCTA 02019,17196,18.8957
02002021,ZCTA 02021,23615,19.60338
02002025,ZCTA 02025,8520,10.85144
02002026,ZCTA 02026,25316,10.65
02002030,ZCTA 02030,6079,15.43472
02002032,ZCTA 02032,4360,2.398846
02002035,ZCTA 02035,17917,20.84995
02002038,ZCTA 02038,33644,27.03017
02002043,ZCTA 02043,23983,23.0558
02002045,ZCTA 02045,10478,8.154345
02002047,ZCTA 02047,156,0.2475869
02002048,ZCTA 02048,24145,20.42151
02002050,ZCTA 02050,26109,33.30794
02002052,ZCTA 02052,12926,14.63996
02002053,ZCTA 02053,13398,11.66715
02002054,ZCTA 02054,8288,12.27637
02002056,ZCTA 02056,11861,15.36203
02002061,ZCTA 02061,11120,21.25297
02002062,ZCTA 02062,29446,10.52206
02002066,ZCTA 02066,18511,19.12565
02002067,ZCTA 02067,18653,23.62978
02002071,ZCTA 02071,1230,0.9833459
02002072,ZCTA 02072,28742,16.46309
02002081,ZCTA 02081,19850,18.46906
02002090,ZCTA 02090,16229,11.18634
02002093,ZCTA 02093,11930,22.61047
02102108,ZCTA 02108,4520,0.1364323
02102109,ZCTA 02109,3639,0.2871728
02102110,ZCTA 02110,2340,0.2747719
02102111,ZCTA 02111,7949,0.2872531
02102113,ZCTA 02113,7339,0.1002927
02102114,ZCTA 02114,13260,0.563969
02102115,ZCTA 02115,29134,0.7496162
02102116,ZCTA 02116,23007,0.7420282
02102118,ZCTA 02118,28892,1.098299
02102119,ZCTA 02119,27426,1.59752
02102120,ZCTA 02120,15210,0.6206508
02102121,ZCTA 02121,29570,1.754383
02102122,ZCTA 02122,24874,2.665245
02102124,ZCTA 02124,57128,3.073091
02102125,ZCTA 02125,34725,2.44092
02102126,ZCTA 02126,29807,2.103998
02102127,ZCTA 02127,36941,2.636903
02102128,ZCTA 02128,47804,5.989904
02102129,ZCTA 02129,20504,1.836765
02102130,ZCTA 02130,42021,3.461177
02102131,ZCTA 02131,34048,2.591768
02102132,ZCTA 02132,28263,4.646149
02102134,ZCTA 02134,19552,1.37765
02102135,ZCTA 02135,45496,2.853224
02102136,ZCTA 02136,36417,4.700531
02102138,ZCTA 02138,39139,3.054033
02102139,ZCTA 02139,39702,1.692305
02102140,ZCTA 02140,20954,1.175371
02102141,ZCTA 02141,14437,0.6540212
02102142,ZCTA 02142,4074,0.4887108
02102143,ZCTA 02143,25102,1.544032
02102144,ZCTA 02144,25009,1.085759
02102145,ZCTA 02145,28372,1.484597
02102148,ZCTA 02148,60710,5.08351
02102149,ZCTA 02149,46275,3.665005
02102150,ZCTA 02150,39862,2.461103
02102151,ZCTA 02151,53416,7.13803
02102152,ZCTA 02152,18558,3.161748
02102155,ZCTA 02155,60533,8.764572
02102163,ZCTA 02163,2343,0.1180473
02102169,ZCTA 02169,56999,10.43479
02102170,ZCTA 02170,19163,2.154655
02102171,ZCTA 02171,18227,4.363915
02102176,ZCTA 02176,28054,4.767269
02102180,ZCTA 02180,23625,6.645331
02102184,ZCTA 02184,37196,14.56424
02102186,ZCTA 02186,27590,13.31421
02102188,ZCTA 02188,16114,3.865594
02102189,ZCTA 02189,15337,4.162552
02102190,ZCTA 02190,17466,7.640764
02102191,ZCTA 02191,8296,3.074988
02102199,ZCTA 02199,1435,0.05723
02202203,ZCTA 02203,24,0.0317264
02202210,ZCTA 02210,4538,1.468788
02202215,ZCTA 02215,26243,0.8726689
02302301,ZCTA 02301,63920,12.60647
02302302,ZCTA 02302,31820,8.905972
02302322,ZCTA 02322,4513,4.538714
02302324,ZCTA 02324,27441,28.36906
02302330,ZCTA 02330,11745,39.72406
02302332,ZCTA 02332,15912,27.85192
02302333,ZCTA 02333,14509,17.53461
02302338,ZCTA 02338,7830,17.38685
02302339,ZCTA 02339,14526,15.62902
02302341,ZCTA 02341,10874,15.73474
02302343,ZCTA 02343,11051,7.118054
02302346,ZCTA 02346,25139,71.99784
02302347,ZCTA 02347,11531,36.32883
02302351,ZCTA 02351,16557,9.900342
02302356,ZCTA 02356,12474,14.02631
02302357,ZCTA 02357,1050,0.5019054
02302359,ZCTA 02359,18455,23.55242
02302360,ZCTA 02360,60797,108.6462
02302364,ZCTA 02364,13746,19.76834
02302366,ZCTA 02366,194,0.9734061
02302367,ZCTA 02367,2979,15.10526
02302368,ZCTA 02368,34214,10.65984
02302370,ZCTA 02370,18010,10.4011
02302375,ZCTA 02375,11336,14.70636
02302379,ZCTA 02379,7254,15.67551
02302382,ZCTA 02382,15139,6.958983
02402420,ZCTA 02420,14726,6.632144
02402421,ZCTA 02421,18578,10.00876
02402445,ZCTA 02445,20520,2.649181
02402446,ZCTA 02446,29711,1.291687
02402451,ZCTA 02451,17470,6.230331
02402452,ZCTA 02452,15636,3.735044
02402453,ZCTA 02453,29289,3.787245
02402457,ZCTA 02457,1812,0.1595521
02402458,ZCTA 02458,12050,2.030172
02402459,ZCTA 02459,18631,5.101154
02402460,ZCTA 02460,9885,1.353063
02402461,ZCTA 02461,6923,1.471191
02402462,ZCTA 02462,1222,0.5509338
02402464,ZCTA 02464,3706,0.5731621
02402465,ZCTA 02465,11967,2.242803
02402466,ZCTA 02466,9292,1.869813
02402467,ZCTA 02467,22982,4.927904
02402468,ZCTA 02468,5522,1.502634
02402472,ZCTA 02472,35951,4.16959
02402474,ZCTA 02474,27853,3.317609
02402476,ZCTA 02476,17526,2.167026
02402478,ZCTA 02478,26123,4.714193
02402481,ZCTA 02481,16121,5.738272
02402482,ZCTA 02482,10814,4.615589
02402492,ZCTA 02492,20679,9.869124
02402493,ZCTA 02493,12103,17.3329
02402494,ZCTA 02494,10498,2.851836
02502532,ZCTA 02532,13443,16.92281
02502534,ZCTA 02534,1082,2.863553
02502535,ZCTA 02535,2005,49.80661
02502536,ZCTA 02536,19629,31.16318
02502537,ZCTA 02537,6824,12.71432
02502538,ZCTA 02538,4129,5.004026
02502539,ZCTA 02539,4358,47.31102
02502540,ZCTA 02540,8241,12.47002
02502542,ZCTA 02542,948,30.75564
02502543,ZCTA 02543,680,30.14444
02502553,ZCTA 02553,96,0.9272804
02502554,ZCTA 02554,11023,56.68413
02502556,ZCTA 02556,2554,4.323555
02502557,ZCTA 02557,4701,11.50149
02502558,ZCTA 02558,1632,2.277134
02502559,ZCTA 02559,3228,6.514914
02502561,ZCTA 02561,257,0.6988963
02502562,ZCTA 02562,2814,3.673078
02502563,ZCTA 02563,9728,14.2633
02502564,ZCTA 02564,189,6.835003
02502568,ZCTA 02568,4132,10.5563
02502571,ZCTA 02571,10858,24.70598
02502575,ZCTA 02575,2197,29.25886
