fips,name,population,area
0505580,"East End School District, Arkansas",4100,106.5272
0505680,"El Dorado School District, Arkansas",24687,273.6798
0505760,"Elkins School District, Arkansas",6022,100.8148
0505850,"England School District, Arkansas",3849,154.3548
0505970,"Eureka Springs School District, Arkansas",8078,154.8291
0506060,"Camden Fairview School District, Arkansas",17726,467.9611
0506090,"Farmington School District, Arkansas",12385,32.98053
0506120,"Fayetteville School District, Arkansas",91893,113.5798
0506150,"Flippin School District, Arkansas",7120,141.8899
0506210,"Fordyce School District, Arkansas",5008,220.9718
0506240,"Foreman School District, Arkansas",2786,167.8777
0506270,"Forrest City School District, Arkansas",21143,345.3212
0506330,"Fort Smith Public Schools, Arkansas",90893,63.32735
0506360,"Fouke School District, Arkansas",6155,280.7513
0506420,"Fountain Lake School District, Arkansas",15941,185.5067
0506540,"Gentry Public Schools, Arkansas",9147,86.70782
0506630,"Glen Rose School District, Arkansas",4462,75.50407
0506690,"Centerpoint School District, Arkansas",4805,217.3868
0506840,"Gravette School District, Arkansas",16384,150.7225
0506870,"Green Forest School District, Arkansas",7049,183.1762
0506900,"Greenbrier School District, Arkansas",17208,141.3452
0506930,"Greenland Public Schools, Arkansas",6920,136.2242
0506990,"Greenwood School District, Arkansas",20998,184.6708
0507110,"Gurdon School District, Arkansas",4326,339.9098
0507140,"Guy-Perkins Schools, Arkansas",1871,46.73562
0507170,"Hackett Public Schools, Arkansas",5790,121.895
0507230,"Hampton School District, Arkansas",3825,482.7504
0507290,"Harmony Grove School District (Clark, Dallas, and Ouachita Counties), Arkansas",4925,361.34
0507320,"Harmony Grove School District (Saline County), Arkansas",5868,21.92837
0507350,"Harrisburg School District, Arkansas",7192,373.8084
0507380,"Harrison School District, Arkansas",20869,209.2853
0507530,"Hazen School District, Arkansas",4756,375.2779
0507560,"Heber Springs School District, Arkansas",12666,75.33672
0507620,"Hector School District, Arkansas",3460,298.5252
0507680,"Helena-West Helena School District, Arkansas",12116,135.2054
0507710,"Hermitage School District, Arkansas",2775,411.8705
0507740,"Cross County School District, Arkansas",3778,291.8795
0507770,"Highland School District, Arkansas",12373,325.7784
0507840,"Hope School District, Arkansas",14631,284.7873
0507860,"Horatio School District, Arkansas",3938,162.4562
0507890,"Hot Springs School District, Arkansas",31398,34.87782
0507920,"Jessieville School District, Arkansas",6367,201.7297
0507990,"Hoxie School District, Arkansas",3572,125.1986
0508040,"West Memphis School District, Arkansas",26000,355.3157
0508130,"Huntsville School District, Arkansas",15268,747.3877
0508240,"Jasper School District, Arkansas",5163,612.4194
0508280,"Jonesboro Public Schools, Arkansas",37293,36.42566
0508340,"Junction City School District, Arkansas",3389,203.8929
0508400,"Riverview School District, Arkansas",7837,185.5934
0508490,"Kirby School District, Arkansas",2735,198.6578
0508610,"Lake Hamilton School District, Arkansas",27980,168.4647
0508640,"Lakeside School District (Ashley and Chicot Counties), Arkansas",7757,588.4152
0508670,"Lakeside School District (Garland County), Arkansas",17842,62.3163
0508700,"Lamar School District, Arkansas",6897,309.6873
0508730,"Lavaca Public Schools, Arkansas",4971,61.08018
0508940,"Lincoln School District, Arkansas",7441,145.8319
0509000,"Little Rock School District, Arkansas",177565,99.04692
0509060,"Lonoke School District, Arkansas",10467,207.1764
0509150,"Magazine Schools, Arkansas",2529,120.9326
0509190,"Magnet Cove School District, Arkansas",3127,49.3623
0509240,"Malvern Special School District, Arkansas",19157,457.7311
0509270,"Mammoth Spring Schools, Arkansas",2899,226.5606
0509330,"Mansfield School District, Arkansas",5251,154.418
0509360,"Lee County School District, Arkansas",8963,622.1464
0509390,"Marion School District, Arkansas",21465,312.4535
0509420,"Marked Tree School District, Arkansas",3329,101.5962
0509480,"Searcy County School District, Arkansas",6595,546.5689
0509510,"Marvell School District, Arkansas",3487,606.1945
0509540,"Mayflower School District, Arkansas",7054,84.11168
0509570,"Maynard School District, Arkansas",2949,201.6747
0509600,"McCrory School District, Arkansas",3216,181.3312
0509630,"McGehee School District, Arkansas",6285,529.1477
0509720,"Melbourne School District, Arkansas",4884,257.7197
0509750,"Mena Public Schools, Arkansas",11823,434.3705
0509780,"Mineral Springs School District, Arkansas",3560,263.7088
0509840,"Monticello School District, Arkansas",9876,95.05887
0509990,"Mount Ida School District, Arkansas",3903,316.2935
0510080,"Mount Vernon-Enola School District, Arkansas",2352,106.8434
0510170,"Mountain Pine School District, Arkansas",3251,103.7223
0510200,"Mountain View School District, Arkansas",12608,569.6794
0510260,"Mountainburg Schools, Arkansas",4012,196.4489
0510290,"Mulberry School District, Arkansas",3527,125.6636
0510320,"South Pike County School District, Arkansas",5150,379.6925
0510380,"Nashville School District, Arkansas",8966,237.1947
0510410,"Nemo Vista School District, Arkansas",3002,106.6202
0510440,"Nettleton School District, Arkansas",28748,41.49237
0510560,"Norfork Schools, Arkansas",2927,169.645
0510680,"North Little Rock School District, Arkansas",55212,28.75428
0510920,"Omaha School District, Arkansas",2627,94.71329
0510950,"Osceola School District, Arkansas",6816,52.64511
0510980,"Ouachita School District, Arkansas",1771,73.14838
0511010,"Ozark School District, Arkansas",11283,331.0828
0511070,"Pangburn School District, Arkansas",4303,106.0041
0511130,"Paris School District, Arkansas",6797,228.2834
0511220,"Parkers Chapel School District, Arkansas",2403,45.32066
0511340,"Perryville School District, Arkansas",5354,400.9631
0511370,"Piggott School District, Arkansas",5365,146.9093
0511610,"Pocahontas School District, Arkansas",11685,199.2549
0511700,"Pottsville Public Schools, Arkansas",6166,70.21152
0511730,"Poyen School District, Arkansas",1363,56.38052
0511760,"Prairie Grove School District, Arkansas",11872,105.4124
0511820,"Prescott School District, Arkansas",4477,237.6945
0511850,"Pulaski County Special School District, Arkansas",127719,632.8029
0511880,"Quitman School District, Arkansas",5090,158.6378
0511970,"Rogers Public Schools, Arkansas",96359,258.9258
0512000,"Rose Bud School District, Arkansas",4198,116.702
0512060,"Russellville Schools, Arkansas",39399,100.6632
0512090,"Salem School District, Arkansas",4340,226.9363
0512180,"Scranton School District, Arkansas",2678,78.01614
0512210,"Searcy School District, Arkansas",33311,161.9129
0512420,"Shirley School District, Arkansas",4855,93.4648
0512450,"Siloam Springs Schools, Arkansas",23641,144.2754
0512480,"Sloan-Hendrix School District, Arkansas",4181,205.7381
0512510,"Smackover-Norphlet School District, Arkansas",5872,293.1661
0512520,"South Conway County School District, Arkansas",14789,274.307
0512540,"Southside School District, Arkansas",5779,52.2135
0512570,"South Side-Bee Branch School District, Arkansas",3532,111.4262
0512630,"Spring Hill School District, Arkansas",2148,71.69901
0512660,"Springdale School District, Arkansas",105547,184.5168
0512930,"Strong School District, Arkansas",3423,303.5972
0512960,"Stuttgart School District, Arkansas",9489,212.5599
0513080,"Greene County Technical School District, Arkansas",21328,346.6583
0513110,"Texarkana School District, Arkansas",32472,196.8228
